NR_158094	Mucilaginibacter
NR_158093	Flavobacterium
NR_158092	Flavobacterium
NR_158091	Geofilum
NR_158090	Sphingobacterium
NR_158089	Winogradskyella
NR_158088	Maribacter
NR_158087	Larkinella
NR_158086	Croceivirga
NR_158085	Parapedobacter
NR_158084	Longispora
NR_158083	Salinifilum
NR_158082	Nocardioides
NR_158081	Allobranchiibius
NR_158080	Streptomyces
NR_158079	Actinoplanes
NR_158078	Nesterenkonia
NR_158077	Propioniciclava
NR_158076	Mycobacterium
NR_158075	Oryzihumus
NR_158074	Nocardioides
NR_158073	[Mycobacterium]
NR_158072	Streptomyces
NR_158071	Promicromonospora
NR_158070	Pseudokineococcus
NR_158069	Nocardioides
NR_158067	Saliphagus
NR_158066	Aliinostoc
NR_158065	Spirosoma
NR_158064	Streptococcus
NR_158063	Altererythrobacter
NR_158062	Xanthomonas
NR_158061	Xanthomonas
NR_158060	Lactobacillus
NR_158059	Lactobacillus
NR_158058	Brenneria
NR_158057	Pacificibacter
NR_158056	Salinirussus
NR_158055	Cellvibrio
NR_158054	Lewinella
NR_158053	Lewinella
NR_158052	Rubrobacter
NR_158051	Novosphingobium
NR_158050	Tundrisphaera
NR_158049	Kushneria
NR_158048	Microbacterium
NR_158047	Promicromonospora
NR_158046	Streptomyces
NR_158045	Bacillus
NR_158044	Winogradskyella
NR_158043	Nocardioides
NR_158042	Microvirga
NR_158041	Psychromarinibacter
NR_158040	Vibrio
NR_158039	Vibrio
NR_158038	Planktotalea
NR_158037	Reyranella
NR_158036	Bacillus
NR_158035	Chitinophaga
NR_158034	Puniceibacterium
NR_158033	Thermosulfuriphilus
NR_158032	Amylibacter
NR_158031	Sulfurivermis
NR_158030	Lactobacillus
NR_158029	Altererythrobacter
NR_158028	Swionibacillus
NR_158027	Chitinophaga
NR_158026	Oceanospirillum
NR_158025	Marinicauda
NR_158024	Altererythrobacter
NR_158023	Oceanispirochaeta
NR_158022	Vagococcus
NR_158021	Lysinimicrobium
NR_158020	Amycolatopsis
NR_158019	Prauserella
NR_158018	Mabikibacter
NR_158016	Actinomyces
NR_158015	Echinicola
NR_158014	Flavobacterium
